City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Ancud,CL,-41.8697,-73.8203,55.4,76,0,5.75,clear sky
236,Nalut,LY,30.3333,10.85,54.03,29,0,9.91,clear sky
237,Port Blair,IN,11.6667,92.75,82.27,72,92,9.04,overcast clouds
238,Camopi,GF,3.1655,-52.3158,71.51,99,36,2.59,scattered clouds
239,Konevo,RU,62.1215,39.3192,30.78,91,100,1.25,overcast clouds
240,Santa Cruz Del Norte,CU,23.1539,-81.9236,84.2,54,20,16.11,few clouds
241,Pushchino,RU,54.8339,37.6264,37.4,81,20,6.71,light snow
242,Necochea,AR,-38.5473,-58.7368,62.01,86,100,8.01,overcast clouds
243,Aranos,NA,-24.1333,19.1167,68.41,39,3,16.46,clear sky
244,Te Anau,NZ,-45.4167,167.7167,64.67,55,100,4.68,overcast clouds
245,Shahr-E Babak,IR,30.1165,55.1186,60.84,31,3,8.5,clear sky
246,Saint-Francois,FR,46.4154,3.9054,51.8,71,75,14.97,broken clouds
247,Pisco,PE,-13.7,-76.2167,70.0,73,0,23.02,clear sky
248,Xingyi,CN,24.1877,102.817,56.53,49,6,2.84,clear sky
249,Lorengau,PG,-2.0226,147.2712,83.28,75,100,4.47,moderate rain
250,Skibbereen,IE,51.55,-9.2667,35.6,93,40,18.41,scattered clouds
251,Hami,CN,42.8,93.45,52.99,38,61,7.76,broken clouds
252,Quang Ngai,VN,15.1167,108.8,74.97,85,96,4.54,overcast clouds
253,Ozernovskiy,RU,51.5,156.5167,27.41,85,100,17.49,overcast clouds
254,Itoman,JP,26.1247,127.6694,73.4,68,75,14.97,broken clouds
255,Mantua,IT,45.1667,10.7833,51.01,80,100,3.0,overcast clouds
256,Vanavara,RU,60.34,102.2797,5.18,98,79,3.8,broken clouds
257,Salalah,OM,17.0151,54.0924,75.2,27,0,3.44,clear sky
258,Morehead,US,37.2711,-87.1764,64.4,48,1,8.05,clear sky
259,Burnie,AU,-41.0667,145.9167,61.0,69,83,5.01,broken clouds
